"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Jax, Griffin",643377,2024,5,5,2.03,0.244,23.9,8,38.7,77.101383951,93.862430186,37.8,52.1
"Rogers, Tyler",643511,2024,3,4,2.82,0.276,24.9,4.4,31.1,73.039023304,92.704925759,18.6,53
"Abreu, Bryan",650556,2024,3,3,3.10,0.284,32.1,8.7,38,81.143034674,94.097664645,34,46.2
"Civale, Aaron",650644,2024,8,9,4.36,0.315,36.5,7.3,39.4,79.152007238,94.002413711,21.9,45.2
"Cabrera, Génesis",650893,2024,3,3,3.59,0.324,33.7,7.4,41.1,79.696903936,94.189379412,26.1,48.6
"Sánchez, Cristopher",650911,2024,11,9,3.32,0.298,30.2,5.4,34.5,75.18960646,93.870693047,24.3,51.6
"Rodríguez, Manuel",655889,2024,3,4,2.15,0.289,30.2,2.8,34.9,77.480563269,94.094053077,26.6,48.4
"Bird, Jake",656234,2024,2,2,4.50,0.364,30.4,8.8,41.6,75.894677869,94.508409587,22.2,44.2
"Burke, Brock",656271,2024,2,1,5.82,0.292,30.5,4.2,41.1,80.677251667,94.312216211,29.1,52.5
"Canning, Griffin",656288,2024,6,13,5.19,0.338,32.4,8.6,41.9,80.443886517,94.700505891,24.5,48.4
"Cease, Dylan",656302,2024,14,11,3.47,0.286,32.4,8.5,38.6,78.282702241,94.084709267,32.4,48.2
"Faedo, Alex",656412,2024,5,3,3.61,0.327,39.4,6.3,34.4,77.90499359,93.483902692,31.1,47.9
"Ginkel, Kevin",656464,2024,8,3,3.21,0.283,35.2,5.6,40.8,79.446978557,94.349364691,27.9,49.3
"Kopech, Michael",656629,2024,6,8,3.46,0.294,34.2,10.5,40.8,78.876881333,93.879345436,32.8,46.9
"Latz, Jacob",656641,2024,2,3,3.71,0.342,30.6,8.9,40.3,76.565029344,93.997906281,28.3,47.4
"Megill, Trevor",656730,2024,1,3,2.72,0.268,36.4,7.6,42.4,82.625340339,94.490318205,29.7,52.4
"Montgomery, Jordan",656756,2024,8,7,6.23,0.350,36.6,6,41,77.212722234,94.218289135,26.9,49.6
"Scott, Tanner",656945,2024,9,6,1.75,0.273,30.4,4.7,27.5,71.83934775,92.406937563,32.7,51.8
"Steele, Justin",657006,2024,5,5,3.07,0.265,30.9,4.2,33.2,75.731326576,93.083319918,23.7,51.5
